Date,France,Germany,"Korea, South",US,United Kingdom
2020-04-12,163593,191176,18094,615743,98134
2020-04-13,168381,197566,18201,653328,102921
2020-04-14,174901,202853,18320,687037,109263
2020-04-15,181709,211157,18432,723014,114792
2020-04-16,196809,218750,18599,759006,120494
2020-04-17,201187,228863,18694,798162,127073
2020-04-18,203394,233201,18822,835123,133756
2020-04-19,209309,237770,18937,867860,140135
2020-04-20,213069,243427,19024,898963,145394
2020-04-21,218147,248524,19133,929731,151074
2020-04-22,217979,255327,19209,962429,156432
2020-04-23,222249,262004,19449,1001789,161798
2020-04-24,225693,270559,19593,1058733,168217
2020-04-25,228855,272190,19687,1095216,174040
2020-04-26,229982,275746,19745,1130667,178932
2020-04-27,234772,279384,19850,1158919,183613
2020-04-28,239602,283626,19929,1190086,188532
2020-04-29,238861,288406,20071,1224898,193464
2020-04-30,241154,293132,20094,1289905,200182
2020-05-01,242114,297713,20153,1336087,207160
2020-05-02,243944,300779,20226,1378074,212601
2020-05-03,244710,303130,20270,1409753,217263
2020-05-04,246263,305845,20341,1440503,221551
2020-05-05,249066,309100,20394,1469449,226670
2020-05-06,254115,315337,20485,1497212,233443
2020-05-07,256099,318522,20562,1532431,239636
2020-05-08,258327,319798,20664,1565054,244942
2020-05-09,259243,322173,20740,1605962,249188
2020-05-10,259804,323848,20797,1630109,253381
2020-05-11,261028,325854,20864,1666713,257488
2020-05-12,263241,328109,20916,1687910,261533
2020-05-13,264047,330659,21013,1723991,265281
2020-05-14,266141,332662,21099,1756369,269176
2020-05-15,267724,334727,21150,1787635,273129
2020-05-16,267724,336290,21200,1831587,277065
2020-05-17,269131,338342,21232,1855289,280769
2020-05-18,270136,339595,21279,1888700,283675
2020-05-19,271636,341540,21439,1916981,286659
2020-05-20,273307,343583,21521,1947036,286521
2020-05-21,274145,345311,21568,1977924,289504
2020-05-22,274973,347002,21625,2055054,293161
2020-05-23,275694,347963,21669,2089095,296410
2020-05-24,275814,348892,21699,2116014,298942
2020-05-25,276844,350108,21769,2147907,300704
2020-05-26,277377,351539,21829,2173198,304890
2020-05-27,278339,352772,21953,2199675,307327
2020-05-28,282338,354026,22034,2232187,309594
2020-05-29,283561,355671,22108,2264306,312022
2020-05-30,285912,356627,22143,2299508,313864
2020-05-31,286287,357302,22196,2348539,315917
2020-06-01,286742,357781,22259,2380137,318084
2020-06-02,286323,359051,22330,2407696,320068
2020-06-03,290927,360176,22401,2443950,322293
2020-06-04,288731,361016,22447,2472024,324285
2020-06-05,289916,362062,22523,2505009,326306
2020-06-06,290828,363081,22601,2537510,328072
2020-06-07,291221,363659,22650,2561251,329485
2020-06-08,291707,364360,22715,2591371,330769
2020-06-09,292448,365371,22789,2616737,332806
2020-06-10,293342,365904,22877,2647141,334070
2020-06-11,294111,366424,22949,2677705,335502
2020-06-12,295292,367544,23019,2711041,337250
2020-06-13,296078,368030,23080,2746568,338858
2020-06-14,296545,368408,23128,2771606,340408
